factor,pearson_ic,spearman_ic,abs_rank_ic
price_vwap_diff,-0.10401951084426024,-0.12333241425305767,0.12333241425305767
ma_20,-0.09264821549213079,-0.0962625325804217,0.0962625325804217
ma_5,-0.08940105045977462,-0.09059958695983147,0.09059958695983147
volatility_10,0.11672214998889063,0.08357395350571228,0.08357395350571228
volatility_20,0.11843206403445172,0.07750375181808888,0.07750375181808888
upper_shadow,0.10704258820178916,0.06378893382564321,0.06378893382564321
hl_vol,0.1253703481930295,0.0620365636823967,0.0620365636823967
lower_ratio,-0.06916633588641977,-0.06004319794995646,0.06004319794995646
lower_shadow,-0.05708205757163274,-0.05613870201986773,0.05613870201986773
vol_roc_5,0.045828037707566875,0.053697685251814745,0.053697685251814745
upper_ratio,0.05362986150652722,0.04962417615564031,0.04962417615564031
ma_slope,-0.07738928391898392,-0.04841211113266015,0.04841211113266015
ret_5,-0.08145977952888764,-0.04576150007964902,0.04576150007964902
ret_10,-0.031042871763718782,-0.021283966886376945,0.021283966886376945
body,0.016477052821650275,0.020807334433831006,0.020807334433831006
obv,0.0071759195241662506,0.020626464120929198,0.020626464120929198
macd_dif,-0.025097632066234676,-0.01789953577423112,0.01789953577423112
ret_1,-0.04695866093189808,-0.011952797540348191,0.011952797540348191
body_ratio,0.01409738203712007,0.010635325566447305,0.010635325566447305
macd_dea,-0.025858203677464803,-0.008812786144886042,0.008812786144886042
ret_20,-0.00039281081608976657,0.006843514236275939,0.006843514236275939
ma_5_20_diff,0.007821830255537537,0.005203627211315846,0.005203627211315846
rsi_14,-0.01264816299617024,-0.004574697117390031,0.004574697117390031
macd,-0.002624473970903026,0.0038449798043495016,0.0038449798043495016
